문장,혐오 여부
괜찮은영화,1
슨타크 게이 닥 ㅇㅂ,0
신선했다..꽤 괜찮았다..,1
솔까 이건 8점대후반영화임 진짜 7점대는 아니다 평점조절을 위해 10점드립니다.글고 마지막 너무 슬픔ㅠㅠㅠ,1
우리는 모두 벽돌 한 장일 뿐.,1
정말 다시 보고 싶지만... 구할수 없어서 더욱더 안타까운 영화,1
방사능조금먹고 센다이 총영사라로 짜져있으면 구속은안되었을텐데 ㅋㅋ,0
자기 자식들에게만 사다리 주지.,0
덩치크고 힘잘쓰는놈은 노가다판에서 뛰어라는 소리 졸라 돌려서말한거네 왜 개념녀라는거지 ;;,0
아기가 넘좋아해읍니다 과학적으로 많이 공되어읍니다,1
정봉주씨는 나중에 꼭 도끼들고 한번 찾아뵈야겠네,0
"1976년, 지금은 2014년. 도대체 뭐가 달라졌는가?",1
"@익명_37779c 한 짖이 아니고 한 짓
밥먹는거 않보여, 싸인 하고 않하고 가 아니고
안보여, 안하고

니 지능이 개 좆이다 이 씨발려나 다른 사람한테 욕할거면 반박을 안당하도록 적어도 맞춤법은 좀 신경 쓰고 글을 싸지르던지 해야지

난 살면서 0개 국어 하는 새키는 또 첨보네 유치원 졸임?",0
"한국인: ""양놈들 수준은 역시 정많은 한국 민주시민들의 발끝에도 못닿는구먼!! 냉혈한 양놈들이 하는짓이 딱 한국의 보수개쌍도 새끼들이랑 같구먼! 진실을 인양하라!""",0
꼴깝,0
바짓가랑이 매달려가지고 형님형님 야아~,0
시발ㅋㅋㅋㅋㅋㅋㅋ 막줄 존나 임팩트있게 웃기네,0
충성충성^^7,0
일본이 배경이라 별점테러 하는놈들이 있는데 일본이 배경이라 무언가 색다른 느낌이 나기도 했다 이영화는 7~8점대가 적당하다,1
왜 기각하지? 저런 판사가 있어 나라가 망하면 그때 잡으러 가도 되는거야?,0
"@좃문캬1berg 통진당 리석기 계열의 민주노총 조폭 깡패 언론노조 새키들이 방송사 장악해서 그런거잖아
그걸 지원하는게 문재앙과 민주당이고 그런 조폭깡패 새키들 전라도에서 열렬히 지지함",0
"사고 조심해. 잘못하면 나같은 돌팔이한테 수술받아야돼.

시발꺼 ㅋㅋㅋㅋㅋㅋ",0
하관씨발,0
진심으로 저 개씹새끼 산채로 모가지 톱으로 썰어버리고 싶네 개씹새끼야 니 딸년보지는 잘 있냐? 그년 보지 잘 판게 생겼더라,0
ㅋㅋㅋ그래봐야 민평당찍음. 자유당은 안찍는다ㅋㅋ,0
고현정 연기 Good! 배우들 때문에 10점 줍니다.,1
역시.. 기가막히군 ㅋㅋ 대단함,1
"http://www.spatic.go.kr/index.do#

여기가면 볼수있다 ㅋㅋ태극기들고 난리났네 좌좀새끼들

참고로 크롬 안나와서 웨일로 보니까 나옴",0
개인적으로 정말 재밌게봤음 연예인 비연예인 나누는 분위기도 별로 안 느끼고 게임도 재밌게해서 다양한 필승법도 보고 시즌3 참가자들이 제일 괜찮은듯ㅎㅎ,1
@익명_48e0c4 상어가 아닌가보제,0
@dusdh 니가가서 물어봐 좆선족새끼야,0
정말 간만에 많이 웃고 특히 하선이 표정연기...졸라 잼남^^♥,1
2010년대에 불가사의한 시청률! 그땐 안 봤는데 주원때문에 찾아 봄.,1
발상의전환.......?,0
8억 십ㆍㄹ 8억 ㅋㅋㅋ,0
@익명_06d8d7 팩트기반이라 좌좀들도 암말못하는거다,0
@고준희믿는다 아니예요^^,0
@싼마이네 야 양쪽말 다 들어봐야 하는건 맞는데.. 어떻게 더 들을 방법이 없잖아? 저 말만 들으면 우선 시장이 좆같다는 생각이 드는건 맞지,0
백퍼 라도 전교조다,0
사진에서 비린내난다 치우라,0
많은 아이들이봤더라면 좋았을걸너무유익하구 재밌었어요유,1
8조로 교부봤습니다 하면서 딜잘했다는 기사 나올듯,0
@국내여행전문가 닉값 ㅈㅎ,0
별10개도 아까운 느낌..,1
갓 동 림 ㅇㅂ,0
지금 인천이노,0
"@익명115c51 면적으로 계산하면 저기 꽉차면 32만정도 나온다

근데 대로 말고 옆길까지 다 꽉찼으니 못해도 50만정도 될듯",0
재밌어요,1
10대에서 갓 벗어난 내가 이 이야기들이 공감된다면10년후의 나는 사랑과전쟁에 나와야겠군,1
"와 주름투성이였던 얼굴이 완전 바낀거 봐라
하긴 설치기 좋아하는 정수기가 왜 안하겠냐
보톡스만 맞겠냐
할거 다 하고도 남을 여자다",0
너무 잘 봤습니다.!!,1
콜린 퍼스 없이 속편은 성공하기 힘들듯,1
"Back to the old school.



신문지로 둘둘 말아주면 되겠네요~ ㅋㅋ",0
"반대지
군사력 경제력으로 강대국은 될 수 있어도 마음을 움직이는 문명대국은 못되지",0
줄거리에 반전 내용을 설명해놓은건 멍청한 짓이였다. 영화 보기도 전에 다 까발려놓고는 무슨 반전을 기대하라는건가. 다행히 줄거리를 안보고 영화를 봤기에.. 소재는 나쁘지 않았음.,1
"심지어 정식 광부도 아니었음
석탄 사서 땔 돈도 없는 빈곤층 남자가 폐광에 몰래 들어 가서 변변치 않은 연장으로 석탄 캐던걸 르포 사진 작가가 찍은거임

그리고 조선인 징용자들의 참혹 했던 현실이라고 알려진 굶어서 뼈와 가죽만 남은 남자들 여러명이서 찍힌 사진도 1950년대 일본판 염전 노예들을
찍은 사진이었음

이걸 찍은 일본 사진 작가가 한국에 와서 전시관에서 그 사진 내려 달라고 요구 했는데 답변이 가관이었음
""팩트는 아니지만 당시 징용 피해자들의 사정이 이와 다르지 않았으므로 사진을 내릴수 없다"" 였음

좌좀 색기들은 이런 팩트를 알려줘도 외면하지",0
"@익명e54d7d 이영애정도 급이면 똥을 아름답다고 한다니까?
걸그룹같은 어중간한 애들이나 그렇지",0
"조금만 더 첨으시지 ㅠㅠ
유튜버 했으면 진짜 대박났을건데...",0
윤아짱 최고,1
불쌍하노 ㅋㅋㅋㅋ 정유라 최순실 박근혜 우병우 조윤선 변희재 강용석 등등.... 피해자들이 너무 많다 그렇기에 문재앙은 절대 곱게 못죽음 절대 ㅋㅋㅋ,0
흑산도 홍어인듯,0
나비효과보다 7년이 빠른 영화 아주 오래전에 봤는데도 기억에 강렬하게 남았네요,1
"어차피 뒤진 자식 지들 인생 필려고 자식 시체 팔아서 국민 세금으로 몇억 챙기는거
나만 역겹다고 생각하냐 어떻게 자식 시체를 팔생각을 하지 ^^ㅗ
사탄도 와! 대단해요 하면서 메모 할 정도겠다",0
초딩 때 정말 재밌게 본 영화인데 지금 다시 봐도 스릴 넘치고 재밌는걸 보니 명작은 명작이구나 다시 보니까 실베스터 스텔론 외에 다른 배우들도 많이 보이고 감독이 롭 코헨이었네..대박,1
냄비 안에 담아서 찍어올려라,0
잼있어요 내가 저 상황이라면 두려워서 죽었을듯아버지가 멋짐,1
멜리사 베노이스트 영문으로 구글링 했는데도 암것두 안나오는디??,0
역대 한국영화 Top 10에 반드시 언급되어야 할 이광모의 아름다운 걸작,1
강렬한 마지막...,1
아이고...안될거같으니 크게터주고가노,0
억지웃음이 아닌 잔잔한 미소를 머금게 하는 가족영화,1
장클로드반담 닮았어,0
좌파들의 자유민주주의 전복 절차로 결국 국민을 가난하게 만들고 시위하면 공포정치 시작한다.,0
아무 생각없이 봤는데 정말 가슴 따뜻해지는 일본 특유의 아기자기한 영화^^,1
사랑 자체의 순수에 관하여. 엔딩을 잊지 못하겠다.,1
"누가 나한테 문재인 잘한거 한가지만 알려줘라

군 복무 줄인거 군인월급 인상 빼고",0
역시 영화는 원본 그대로봐야 재밌음ㅋ원본 그대로라는말은 더빙 노노,1
진짜 완벽하게 재밌다.,1
"가카욕하고 광우뻥시위나가서 시위했던 버러지들은
청계천이용하지말자 역겹다",0
팩트 반박 못하지 조금 김연아 닮았다,0
ㅈㅈㅂ인데...인기글 까지??ㅋㅋㅋㅋ,0
이 정도로 강렬한 폭력미학도 드물거다.,1
존잼 ㅠㅠ황정ㄴ민너무조아,1
진짜요즘내가보는드라마중에서는진짜최고였다. 왜이렇게시청룰이낮은진모르겠지만진심추천한다거짓말안치고. 보면백퍼후회안할드라마.,1
최고다.시청률이 아쉽지만 정말 좋은드라마이다백년의유산은 내용이 추측한대로 흘러가서 재미가없었는데 이 드라마는 아니다.백년의 유산 보시는분들이 조금만 이드라마를 본다면 푹 빠져서 넘어올것으로 예상한다,1
문재인 진짜 미친 무능 리더다 ㅋㅋ,0
@익명53c624 현대자동차랑은 아예 다른계열사임?,0
고등학교때 정말 재밌게 봤었어요!!,1
별점이 왜 이렇지? 우연히 다시 보게 되니 개봉 당시 극장에서 몰입해서 봤던 기억이 난다. 초반에 변희봉 소름끼치는 늙은이 연기 대박,1
참 뭔가 씁쓸하다,1
시기가 미묘를 어렵게쓰냐 시묘가 미기정도만하지,0
@익명0ae9f8 재앙이새끼 누구한테 반말함? 씹꼰대였노,0
@잡식충 조선개돼지 혹은 전라도새끼들 종특임ㅇㅇ 지보다 잘살거나 잘먹으면 배알꼴려함ㅋㅋㅋ,0
이영화는 좋은데 한국에서하면 이상해요,1
한국인은 개념과 염치가 없어서 ㅁㅈㅎ,0
홍콩의 우울과 암울을 적절히 표현한 걸작,1
아프리카 자체가 여행자제야 외교부 병신새끼덜 ㅋㅋ,0
9점이상이제....훈훈한게 ......최고제..,1
진짜 강추 완전재밌다!,1
저놈 어떻게 격노했는지 영상으로 좀 보고싶네,0
우리 몽님 헤드샷 당해서 죽어 버렸으면 ㅋㅋㅋ,0
@한국침몰시간문제 기원 ㅇㅂ,0
가슴이 먹먹......,1
배우가아니라서 아쉽다라고 하는사람들아 이 영화는 오히려 진짜 바이올리니스트가 연기해서 더욱 파가니니를 잘 묘사했고 연주도 끝내준거다. 꼭 배우가 영화 찍어야한다는 법은 없다.,1
@홍어가만선 ㅋㅋ노무현같기도함,0
@동네몬스터 인트라가 존나 편해서 좋음. 따로 설정안하고 자동으로 켜져서,0
"저거이 삼성이 엿맥인거냐?,. 라도식 피해망상 해석이네.. 보상금 달라고?",0
숨길 게 없이 명백히 좆창나고 있으니까 ㅂㄷㅂㄷ거리며 숨죽이는거 아니노,0
극디류지리노,0
"당연히 패션도 화제거리니깐 남녀 다 그러지
꼭 좆같이 생긴것들이 저지랄이야",0
SFX 무협영화의 장을 연 작품..,1
정경심같은년,0
한말씀 올리자면 배우나 스텝분들 댓글들은 보지마세요. 워낙 OOO기 같은 댓글이 많아서. 드라마 보는데 뭔놈에 현실 막장타령이여. 악플다는 애들은 진짜 때가 많이 탄 애들이여. 그냥 보기 싫으면 암말말고 디비져 자든가.,1
@가로세로흥신소 동감.. 짱깨가 싫긴 하지만 한반도 역사도 국뽕 왜곡 존나 많을듯 일제시대에 대한 역사가 그렇듯이,0
아이들의 연기가 귀엽네요 가족영화로 가볍게 괜찮아요~,1
제가 살아온 인생에 대해 다시금 돌아보게 만드는 영화네요,1
어떻게 그리 자연스럽게 촬영을 했지?? 배부른 이 나라의 시위꾼들 꼭 한번 보아야 할 영화~,1
그림체는 코믹적이지만 스토리는 정말 탄탄하네요. 현 사회에대한 문제점을 잘 보여주고있네요. 영화에서 말하는 히마가 줄어들고있는모습,1
123중에 2가솔직히 원탑입니다..감독님 제발 다음영화좀 빨리요,1
비뚤어진 새끼. 쯧쯧 그냥 불쌍하다 저런것들,0
진리임,1
다시봐도 꿀잼 둘리 요리솜씨 굿,1
"@군터오딤 그때는 반반이었는데 달창화력 쎄가지고
김경수가 드루킹 퉁수치니까
드루킹이 엿먹어보라고 작업해줌
그걸 애미추가 고발했더니
드루킹,김경수가 빵에갈줄이야 ㅋ",0
시청자 조차 몰입하게되는 스토리 .눈을 사로잡는 배우들의 연기력 .귀를 귀울이게 하는 대사 .한회한회 볼때마다 생각하게 하는 이 드라마. 많은것을 얻었습니다.황금의제국 관계자분들 감사드립니다.,1
아니 짱구는 이렇게 최근에 나온게 케이블 애니메이션 채널에서 나오는구나.. 케이블에서 무료료 봤는데 재밌었음,1
대한민국 수준...,0
세상 어디에도 없던 영화,1
"컴팩트하면서도 파워풀한 연출, 게다가 기막힌 독창성까지!!",1
"시발...경기도 까지만 올려라 똑같이 200원 올리면 1,650원이드",0
"경제, 국방, 외교 뭐하나 제대로 된 게 없네",0
이거 ㅈㅈㅂ인데 시발 ㅋㅋㅋㅋ,0
이런 영화를 이제서야 보게 되다니. 정말 대박. 아직 2편이 남아있다는거에 만족한다.,1
짤아지매 누구냐,0
단 증축부분 취득세 냈는지 그리고 미등기에 대한 과태료등 행정처분 요구해야겠다,0
완전 감동 마지막에 역기들때 울었음 포풍감동,1
늘 발전하는 그림체 그래서 좋아요. 독립영화를 지지합니다. 더욱 멋진 작품들 많이 만들어 주세요.,1
딴 말 없이 그냥 정말 재밌게 봤던 영화!,1
"문재인 박원숭 이재명
씹세기들아 좀 배워라",0
@보빨에간사춘기 그건 알지 그래도 팔은 안으로 굽는게 정상일텐데ㅋㅋ,0
"처음엔 노무현 별 생각없었는데...



자꾸 일게이들이 노짱이라고 부르다보니 좋아짐",0
홍콩사태랑 똑같네,0
국민을 개돼지로 본다는 증거,0
@명이랑동시에섹스 어휴 병신새끼 찐따냐,0
남자인데 완전 잼잇네요 ㅋㅋㅋㅋ,1
오오미 이분 훌륭한분이었구마잉 그냥 빨렙일게이인줄알고 그동안 무시한거 미안하당께,0
"@고오급워치 누가 보면 그네가 저런 돈까지 다 먹은걸러 보인다?

애초에 예산에 청와대 돈이 저기에 들어가 있던거야. 주로 출처 밝히지 싫은 돈들이지. 그 부분을 뒤로 빼낸거지.

물론 그 규모가 제일 컸던건 때중이때고, 이니 지도 질 빼먹고 있어. 지 식비며 지 마누라에게 나가는 돈 일체 밝히지 않쟎여.",0
1997년도에 벌써 이런이야기가나왔다 개인적으르 인셉션보다 훨씬 재미있었고 최고의영화다,1
틀따다다다다닥~~,0
골프는 메세지를 전달하기 위한 껍데기일 뿐... 쩔어요. 최고~,1
첫짤존나웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
진짜 거짓말 안보태고 거의 100번 봤다. 최고다..9살때부터지금까지잊지못하는영화,1
완전 조아~,1
아무리 오리지날에 못미친다해도 브이는 최고임 제인 배들러 쵝오,1
클래식! 언제 다시봐도 멋지고 완벽.,1
정말 초코렛을 먹고싶게하는 영화,1
부모욕은 하지말자 이건좀아님,0
"겉으로는 민주 평화 정의

누구보다 독선적이고 세습적이고 국민을 기만하는
사상이 좌파사상이다",0
@익명caf7e4 규제의 의미부터 공부해라.,0
20세기 세손가락 안에드는 위대한 말빨!!,1
일본 딱 ㅆㅅㅌㅊ,0
sns글하나 퍼오고 일반화 선동시키노 ㅋㅋ,0
"혼자 켜지는 TV, 냉장고에 붙어 있는 포스트잇.",1
꼭 보길 바란다. 꼬오옥,1
"진주희

이채담

예담

백1세리

정향",0
마음에 듭니다.,1
"서울사는 좆병신들 서울부심부시더니

자기들은 유인원 원숭이한테 지배받고 사는중 ㅋㅋㅋ

서울촌놈새끼들 다 뒤져라",0
인간이란 무엇인가....요즘 비리 저지르는 방산업체놈들과 썩어빠진 정치인들이 봐야할 영화. 보고 울었다,1
@싸이코경제학자 개독새끼가 예수쟁이라 싫다했더니 눈깔뒤집혀서 뜬끔없이 씹대중 튀어나오네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
조던 광이라서 10점..ㅎㅎ,1
진짜 눈물난다. 다들 연기 멋진데... 러셀크로우는 정말이지... 최고의 연기를 펼치는 듯...,1
"대기업이 살아야 중소업체들과 지역 경제도 일어나고 함께 살기 마련인데
머리 나쁜 좌파새끼들은 무조건 죽이기에 혈안이니
너죽고 나죽자 식이지",0
장장 커플도 대단했지만 장신커플도 빠지게 만드네..,1
진심 죽여버리고 싶다,0
항상 일본 애니 영화 보고난뒤에 여운이 남는데 이건 여운이 2주는 거뜬히 갈것 같네요그리고 나중에 업사이드 다운 보시는것도 좋을것 같아요 (진엔딩??),1
저게 좌파다,0
무슨말이 필요한가? 평점 10끝,1
그저 그런 영화일거란 생각을 뒤엎는 영화,1
박시후 is very good.,1
@익명eafb8f 신천지때문엔 맞지않음? 아나야? 몰라서묻는거 알려조,0
"저러다 애기가 잘못되기라도 하면 저놈 어쩌려고 생쇼를 한거냐
기자들 좋다고 웃는 꼬라지도 가관이네
진짜 웃기는 나라 이상한 나라임",0
휴.. 많이 먹는데 입은 가볍고 생각도 가볍지,0
요즘은 볼수 없는 우리 어머니일수도 있는 애틋한 이야기.,1
영원히 살아라 거기서 병원비 100억찍는거 보자,0
스티븐 카렐의 개그ㅋㅋㅋㅋ,1
그래도 혼자 약빨고 자해하고 북치고 장구치고 하는게 더 낫지,0
노무현이 다이쥬 불법대북송금특검 승인했더니 바로 탄핵시전했자너ㅋㅋㅋㅋㅋ^추^,0
약간 심호한 펑크 호러...그러나 재미,1
마지막 장면 왤케 눈물나지? ㅜㅜ 세번도 넘게 봤는데 너무 재밌고 마지막장면 감동받음,1
우리나라의 상황을 매우 현실적으로 나타내어서 인상적이었습니다! 네 영화 모두 좋네요 정말!,1
그로테스크한 표현이나 게리올드만배우의 연기력은 최고였음 !,1
이런 광주를 보고 싶었다! 객석의 감동 슬픔 눈물이 미래를 위한 힘으로 비축된다.,1
얼굴보니까 실력으로 간거 맞음,0
평점이 너무 낮다..한8점정도 줘야 되는것 아닌가?진짜감동도 있고마음에든영화였다,1
"경제좆되게하고 외교 좆되게해서 경제 더 좆되게하고, 북한 핵포기는 아직 소식도 없는데 여당을 지지하는게 말이되나?",0
"재앙이 이 빙신같은 새끼는 정은이가 자기 이용해 쳐 먹는지도 모르고 헤헤헤

왕 짜증 씨빡",0
눈깔하고 입꼬라지가 딱 그새끼다.ㅋ moon,0
"씨발 그렇게 기억할만한 사람 이름이 없냐 ㅋㅋㅋㅋㅋ 까보면 대단한 이유로 죽은것도 아니잖아 ㅋㅋㅋㅋ

과속한것도 아니고, 평소에도 차고 넘치는 단순한 12대 중과실 교통사고중 하나일 뿐인데 뭐 대단한거라고 이름을 외우냐 ㅋㅋㅋㅋㅋ

거기다가 12대중과실로 사망하면 3년이상 최대 무기징역?ㅋㅋㅋㅋㅋ 강간도 3년이상 '유'기징역이라더라 ㅋㅋㅋㅋㅋㅋㅋ 강.간 도 씨발년들아 ㅋㅋㅋㅋ

노동력착취, 성매매 인신매매, 장기적출 인신매매도 2년이상 15년 이하라더라 ㅋㅋㅋㅋㅋ 장기적출해도 개년들아 ㅋㅋㅋㅋㅋ",0
대박..장혁연기짱..신동엽먹방 최고웃기면서드럽다ㅡㅋㅋ,1
약간 아쉽지만 재밌게 잘봤습니다,1
"섬세한 음악, 섬세한 감성",1
이고의 표정이 정말 압권이었다! 애니에서만 가능한 그 특유의 표정.. 애니에서 요리 관련 소재를 많이 썼으면 좋겠다,1
"음악은 소름끼치게 잘만들었고, 스토리는 누구나 빠져들게된다. 나에게 있어서 이보다 더한 영웅과 명작은 없다.",1
@qetadgz 바랫나 ㄴㄴ 바랏나 ㅇㅇ 공부좀,0
오래간만에 동심으로 돌아가는 느낌이었어요고전은 고전이네요언제봐도 좋은 디즈니,1
정말다시보고픈데 dvd좀만들어줬으면,1
배지원 같은소리하네 미친,0
@익명_7337b2 모르면 배워라,0
재밋슴,1
"공부만 한 색기들이 성격 파탄자거나 대천사거나 둘중 하나
어쨋든 너무 좋거나 너무 사이코패스거나 중간이 없는 괴물임
반박불가 팩트임.
성격이 보통이거나 애매한 사람들은 애매하게 공부하고
어중간한 곳에서 일하지.

최상위 직군에서 일할 수록
속에 악마가 내재된 사이코패스가 많고
반대로, 진짜 순진해 빠진 사람많다.",0
계산 좆같이 하네 ㅂㅅ ㅁㅈㅎ,0
어? 민아 신입인가?그는 40분동안 못알아봤습니다,1
현실적이지는 않지만 그래도 재미있음,1
개좆같이 생긴데다가 정신도 이상하가면서,0
12살 아들하고 같이 봤다가... 드래곤볼 보여 달라는 아들 ㅠㅠ... 하지만 난 눈물 펑펑 ㅠㅠ,1
"@달빛동맹1호 법이 핑계냐?
공원에서 물을 퍼 올리는 행위자체를
생상라인중에 하나로 볼 수 있으니까 그런거지
어휴, 수준보소",0
개구충제사다먹으면됨?,0
굉장히 재미있었습니다.,1
『국민소통수석』,0
저쯤되면 윤지오는 보수쪽에서 보낸 자객아니냐?,0
ㅋㅋㅋ부끄러운필모? 설경구 씨는 아마 그렇게 생각 안할걸요,1
산불보고이후 5분 간격으로 뭐했는지 공개하라.,0
"그저 가벼운 섹시코메디일 줄 알았는데, 이런 영화 너무 좋다.",1
@익명5f5c1e 닉 ㅇㅂ,0
가슴이 따뜻해지는 영화,1
머리끄당기는곳이랑 손이 문못열게막는곳에서 존나지리고 똥지림 ㅈㄴ깜놀 근데마지막 이해안가 진짜유미야아님그 미에코야 뭐야 칼들고잇길래 ㅋ사탕키슨머고,1
신념에 관한 이야기.,1
역시 청와대는 쫌생이 집단이다.,0
내 마음의 창을 깨끗하게 닦아준 영화,1
명작 애니지요 으흐흣,1
청와대 직원이 저 내용을 곽상도한테까지 제보할 정도면 그 여친이 사회생활 잘 못했나보다ㅋㅋㅋ,0
"일게이들아 문재인 설득해봐 좀.



미국은 반대해도 다 방법이 있다.



자원해서 주면 얼마나 잘 도와주는데



어짜피 줄건 줘야 그림도 좋지. ㅇㄱㄹㅇ",0
이게 평점이 이렇다니.. 반성해야된다.여운을 남긴다..,1
내게 이 일본영화는 최고이다. 정말 재미있게 봤다. 이 영화보고 더운날의 일본이 가고싶어졌을정도. 그래서 더운날의 일본을 갑니다 히히,1
드라마 존나 쳐보자나,0
씨발ㅋㅋㅋㅋㅋ 모세랑 박았노 이깈ㅋㅋㅋ,0
일베 납량특집이노,0
시로우마사무네 원작을 잘 살린 느낌...오시이마모루와 비교는 좀 이제 그만...,1
"내일 어린이 한명이 엄마아빠 손 끌고

아빠 ㅇㅇ이가 그린거 볼래? 볼래?이러는데

수 많은 국기중에 ㅇㅇ이가 그린거만 쏙 빠져있고

아빠가 앉아있던 벤치틈새사이에 베베꼬여져서 박혀있던거임",0
"박창진이 재 또라이냐
멀쩡하게 생겨가지고 왜 저모양이지",0
넘 재밌어요ㅋㅋㅋ,1
꼭 한번 보라고 추천하고 싶은 영화,1
진짜웃기고 마지막엔 감동 ㅋ,1
"장만옥의부재와 격한격투씬이없는건 아쉽지만 사다리액션이며 수중코믹격투는 성룡만이 할수 있는 듯 성룡, 당신은 최고입니다~!!",1
재미있게봤어요 추천합니다,1
치매걸린놈 별명으론 재앙이 딱 좋네,0
@스카이라운지부천 각하!! 끝판왕 박근혜의 봉인이 해제된다면 저희에게는 승산이 없사옵니다!! 털썩 .. 신에게 아직 석달치 인터넷요금과 단말기할부금이 남아있사오니 신을 진보연합이 연전연패중인 유튜브전선으로 보내주시옵소서 저 충신 댓글대장군 7200 피를 토하는 각오로 분연히 떨치고 일어나 배승희.민영삼의 따따부따.직설진성호.도람뿌.가로세로연구소!! 박근혜 호위장수들을 모조리 베어버리고 은하계 전투의 신!! 단일보수 끝판왕!! 박근혜의 봉인해제를 결사항전으로 막겠나이다!! 문재인 각하!! 하고싶은거 다하시고 만수무강하시옵소서 가으으윽하아아아!!!!!,0
@진들딸기 씨발개새끼같은 정부라서,0
..좋다 아주 배우들 또한..몰입도가 높네요,1
팝콘먹을 시간도없었어요..대박,1
찌라시 ㅋㅋㅋㅋ,0
@빈유척살꾼 나는.. '귀검사'다.,0
최고인 영화 폭력과 잔인함의 미학이죠,1
@이만은돈을어쩔꼬 문재인뽑고 이민도 못가는 좆거지새끼 혀치 휘두르는건 가히 수준급이노,0
섹스는 잘함?,0
영화평 굳이 들어와서 쓸 생각 잘 않하는데 .. 정말 재밌네요. 감동적이기도 하고... 영화 플랜맨 설특집으로 제 2의 전성기 ㄱㄱ ㅋㅋㅋ,1
"영화 진짜 보고 .. 펑펑울었습니다 , 너무슬픈거같아요 .. ㅜㅜㅜ !",1
매국노 문재인 여적죄 사형,0
렉서스 es300h 하이브리드는 유지비 어떰? 많이 나가냐?,0
그냥시험만잘보는사람이네 연구업적은없네,0
코믹멜로 드라마 중에선 최고다,1
도로 전부 폐지하고 자전거 도로로 바꾸고 인천사람들 공기청정기 역할 하자,0
너 무 재 미 있 어 요!!!,1
"저랬는데
중국에서 동료 기자들 쳐맞았는데
입 쳐닫음
ㅋㅋㅋㅋㅋㅋ
중국인한테는 쳐맞아도 입쳐닫고
미국이나 좌파 아닌 사람들한테만 저 지랄함
결국 인간적으로 대해주면 기어오르고
개처럼 패야지 말을 듣는 민족성이 아닐까 생각함
개인적으로 기레기들은 인간도 아니라고 생각함",0
설명할수 없는 매력과 이끌림에 대한 고찰?이 담긴 영화같음.실제로 이런 사람들 현실 세계에 존재함,1
1점과 10점으로 평가가 극명하게 갈리는 영화. 마치 현재 한국에서 이념대립처럼 극과 극으로 치닫는 평가.,1
볼드라마가 없어서 힘들었는데 이드라마는 정말 재미있어요^^앞으로 기대되요ㅎㅎ,1
액션씬에 반했다 현재까지 내생에최고의영화인듯 ㅠㅠ 정말훌륭한영화,1
"알아둬야할 배경지식 : 서해5도가 서해5도인 이유는 원래 황해도였던 서해의 5개섬(연평도 등)을 제외한 황해도의 모든섬은 방어의 어려움 등을 감안해서 정전협정때 걍 북한에다 넘겨버렸다. 그게 서해5도의 유래임 ㅇㅇ

근데 서해5도말고 그보다 더 북쪽에 저런섬이 있다는게 이해가 안가서 찾아봤다

연세대 정치외교학과 김명섭 교수:
""정전협정에 따르면 황해도와 경기도의 도계선 북쪽과 서쪽에 있는 섬들 중에서 현재의 서해 5도를 제외한 기타 모든 섬들은 공산군 측 관할 하에 둔다고 하였으므로 함박도가 이 도계선 이북에 있는 섬이라면 이북에 속한 것이 된다. 그렇지만 썰물 때 말도와 곧장 연결되는 함박도는 말도에 속한다고 볼 수 있는 여지가 있기 때문에 우리 측 주소지로 설정된 것 같다.""
""이북에 속한 섬이라 하더라도 함박도에 조선인민군의 군사시설이 설치되도록 방치해서는 안 되고, 비무장지대(DMZ)로 설정하는 것이 바람직하다”

고려대 통일외교학부 남성욱 교수
""정전협정 당시 함박도를 북한에 넘겼다는 사실을 모르고 그 이전 행정상의 기록이 그대로 전해져 내려온 것 같다""

조현근 서해 5도 평화수역운동본부 정책위원장
“함박도 앞바다는 수심이 3m밖에 되지 않아 썰물 때는 갯벌로 인근 유인섬과 바로 연결이 되는 중요한 섬인데 여기가 NLL 이북의 북한 땅이라는 것은 상식적으로 이해하기 어렵다”",0
"저렇게 세뇌시켜 다른 종족처럼 보이게 하는데 고작 수십년이면 된다

한국종족족도 별거 없다

지금처럼 좌빨들이 계속 집권하며 모든 언론 학계 연예계 영화계 등등 전방위적으로 작업이 계속되면 누구나 다 저리 될 수 있다

그나마 틀딱들은 이미 사고가 굳어서 왠만하면 세뇌 안된다

그래서 늙은이는 죽어야 한다고 늙은이는 틀딱이라며 분리정책을 퍼트리고 있는거고...",0
박우한순,0
너에게 마음이 있었으면 좋겠어 라는 대사가 아직도 기억남 십수년 전이였는데도.,1
성별이 문제다,0
"아름다운 클래식 음악+낭만적인 사랑, 당산의 이름은 뮤즈 그리고 아티스트",1
빠져들게 하는 무언가가 있었지만.. 끝이 왠지 아쉽다..,1
ㅋㅋㅋㅋㅋㅋ유시민 병신새끼긴 한데 쌍도사람들보면 잔대가리 잘굴리는게 역사적으로 정치이런거 잘할거같음,0
진짜 짱입ㄴ니다 최고! 좀비영화중에서 봤던것중에 제일훈훈하고감동,1
@니면상에펀치 예고편에 아스카는 왜 궁예가 된거야?? 꼴리게시리,0
"쟤도 미국 못가게 미국 정보기관에 내용 전달 좀해라

영어 잘하는 게이야",0
